"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018","continentExp"
"89",2020-04-10,10,4,2020,9,0,"Nepal","NP","NPL",28087871,"Asia"
"90",2020-04-11,11,4,2020,9,0,"Nepal","NP","NPL",28087871,"Asia"
"91",2020-04-12,12,4,2020,9,0,"Nepal","NP","NPL",28087871,"Asia"
"92",2020-04-13,13,4,2020,12,0,"Nepal","NP","NPL",28087871,"Asia"
"93",2020-04-14,14,4,2020,14,0,"Nepal","NP","NPL",28087871,"Asia"
"94",2020-04-15,15,4,2020,16,0,"Nepal","NP","NPL",28087871,"Asia"
"95",2020-04-16,16,4,2020,16,0,"Nepal","NP","NPL",28087871,"Asia"
"96",2020-04-17,17,4,2020,16,0,"Nepal","NP","NPL",28087871,"Asia"
"97",2020-04-18,18,4,2020,30,0,"Nepal","NP","NPL",28087871,"Asia"
"98",2020-04-19,19,4,2020,31,0,"Nepal","NP","NPL",28087871,"Asia"
"99",2020-04-20,20,4,2020,31,0,"Nepal","NP","NPL",28087871,"Asia"
"100",2020-04-21,21,4,2020,31,0,"Nepal","NP","NPL",28087871,"Asia"
"101",2020-04-22,22,4,2020,42,0,"Nepal","NP","NPL",28087871,"Asia"
"102",2020-04-23,23,4,2020,45,0,"Nepal","NP","NPL",28087871,"Asia"
"103",2020-04-24,24,4,2020,48,0,"Nepal","NP","NPL",28087871,"Asia"
"104",2020-04-25,25,4,2020,49,0,"Nepal","NP","NPL",28087871,"Asia"
"105",2020-04-26,26,4,2020,49,0,"Nepal","NP","NPL",28087871,"Asia"
"106",2020-04-27,27,4,2020,52,0,"Nepal","NP","NPL",28087871,"Asia"
"107",2020-04-28,28,4,2020,52,0,"Nepal","NP","NPL",28087871,"Asia"
"108",2020-04-29,29,4,2020,54,0,"Nepal","NP","NPL",28087871,"Asia"
"109",2020-04-30,30,4,2020,57,0,"Nepal","NP","NPL",28087871,"Asia"
"110",2020-05-01,1,5,2020,57,0,"Nepal","NP","NPL",28087871,"Asia"
"111",2020-05-02,2,5,2020,59,0,"Nepal","NP","NPL",28087871,"Asia"
"112",2020-05-03,3,5,2020,59,0,"Nepal","NP","NPL",28087871,"Asia"
"113",2020-05-04,4,5,2020,75,0,"Nepal","NP","NPL",28087871,"Asia"
"114",2020-05-05,5,5,2020,82,0,"Nepal","NP","NPL",28087871,"Asia"
"115",2020-05-06,6,5,2020,82,0,"Nepal","NP","NPL",28087871,"Asia"
"116",2020-05-07,7,5,2020,99,0,"Nepal","NP","NPL",28087871,"Asia"
"117",2020-05-08,8,5,2020,101,0,"Nepal","NP","NPL",28087871,"Asia"
"118",2020-05-09,9,5,2020,101,0,"Nepal","NP","NPL",28087871,"Asia"
"119",2020-05-10,10,5,2020,109,0,"Nepal","NP","NPL",28087871,"Asia"
"120",2020-05-11,11,5,2020,120,0,"Nepal","NP","NPL",28087871,"Asia"
"121",2020-05-12,12,5,2020,134,0,"Nepal","NP","NPL",28087871,"Asia"
"122",2020-05-13,13,5,2020,217,0,"Nepal","NP","NPL",28087871,"Asia"
"123",2020-05-14,14,5,2020,219,0,"Nepal","NP","NPL",28087871,"Asia"
"124",2020-05-15,15,5,2020,258,0,"Nepal","NP","NPL",28087871,"Asia"
"125",2020-05-16,16,5,2020,276,0,"Nepal","NP","NPL",28087871,"Asia"
"126",2020-05-17,17,5,2020,291,1,"Nepal","NP","NPL",28087871,"Asia"
"127",2020-05-18,18,5,2020,304,2,"Nepal","NP","NPL",28087871,"Asia"
"128",2020-05-19,19,5,2020,375,2,"Nepal","NP","NPL",28087871,"Asia"
"129",2020-05-20,20,5,2020,402,2,"Nepal","NP","NPL",28087871,"Asia"
"130",2020-05-21,21,5,2020,444,2,"Nepal","NP","NPL",28087871,"Asia"
"131",2020-05-22,22,5,2020,487,3,"Nepal","NP","NPL",28087871,"Asia"
"132",2020-05-23,23,5,2020,548,3,"Nepal","NP","NPL",28087871,"Asia"
"133",2020-05-24,24,5,2020,584,3,"Nepal","NP","NPL",28087871,"Asia"
"134",2020-05-25,25,5,2020,603,3,"Nepal","NP","NPL",28087871,"Asia"
